dataset,explainer,segmentation_function,replace_color,avg_insertion_auc,std_insertion_auc,avg_deletion_auc,std_deletion_auc,avg_exec_times,std_exec_times
CIFAR100,LIME,quickshift,violet_color,0.486,0.137,0.417,0.157,4.317,0.216
CIFAR100,LIME,felzenszwalb,violet_color,0.452,0.155,0.393,0.165,4.402,0.238
CIFAR100,LIME,slic,violet_color,0.426,0.169,0.395,0.17,4.522,0.203
CIFAR100,LIME,quickshift,green_color,0.422,0.177,0.372,0.195,4.313,0.196
CIFAR100,LIME,felzenszwalb,green_color,0.401,0.198,0.345,0.212,4.416,0.2
CIFAR100,LIME,slic,green_color,0.358,0.209,0.343,0.214,4.53,0.203
CIFAR100,LIME,quickshift,grey_color,0.645,0.136,0.616,0.168,4.294,0.203
CIFAR100,LIME,felzenszwalb,grey_color,0.643,0.125,0.612,0.151,4.439,0.221
CIFAR100,LIME,slic,grey_color,0.637,0.118,0.612,0.133,4.521,0.235
CIFAR100,LIME,quickshift,white_color,0.585,0.106,0.524,0.126,4.288,0.206
CIFAR100,LIME,felzenszwalb,white_color,0.53,0.114,0.474,0.123,4.411,0.277
CIFAR100,LIME,slic,white_color,0.475,0.127,0.445,0.128,4.546,0.18
CIFAR100,LIME,quickshift,black_color,0.527,0.125,0.459,0.142,4.295,0.216
CIFAR100,LIME,felzenszwalb,black_color,0.523,0.122,0.45,0.145,4.395,0.269
CIFAR100,LIME,slic,black_color,0.495,0.124,0.471,0.121,4.51,0.23
CIFAR100,RENEX,quickshift,violet_color,0.604,0.126,0.363,0.166,0.048,0.018
CIFAR100,RENEX,felzenszwalb,violet_color,0.62,0.101,0.279,0.161,0.106,0.038
CIFAR100,RENEX,slic,violet_color,0.609,0.109,0.337,0.177,0.185,0.004
CIFAR100,RENEX,quickshift,green_color,0.526,0.146,0.298,0.193,0.048,0.018
CIFAR100,RENEX,felzenszwalb,green_color,0.573,0.147,0.287,0.237,0.112,0.037
CIFAR100,RENEX,slic,green_color,0.531,0.128,0.243,0.188,0.187,0.007
CIFAR100,RENEX,quickshift,grey_color,0.734,0.089,0.558,0.194,0.052,0.018
CIFAR100,RENEX,felzenszwalb,grey_color,0.741,0.077,0.578,0.17,0.111,0.041
CIFAR100,RENEX,slic,grey_color,0.71,0.114,0.561,0.174,0.189,0.01
CIFAR100,RENEX,quickshift,white_color,0.665,0.09,0.467,0.124,0.05,0.015
CIFAR100,RENEX,felzenszwalb,white_color,0.65,0.092,0.432,0.128,0.121,0.044
CIFAR100,RENEX,slic,white_color,0.658,0.087,0.457,0.128,0.192,0.005
CIFAR100,RENEX,quickshift,black_color,0.625,0.095,0.383,0.135,0.048,0.018
CIFAR100,RENEX,felzenszwalb,black_color,0.655,0.089,0.354,0.151,0.102,0.038
CIFAR100,RENEX,slic,black_color,0.623,0.098,0.407,0.147,0.189,0.005
CUB100,LIME,quickshift,violet_color,0.667,0.131,0.499,0.218,4.441,0.304
CUB100,LIME,felzenszwalb,violet_color,0.619,0.154,0.463,0.196,4.594,0.176
CUB100,LIME,slic,violet_color,0.569,0.127,0.506,0.146,4.623,0.148
CUB100,LIME,quickshift,green_color,0.686,0.136,0.406,0.184,4.479,0.16
CUB100,LIME,felzenszwalb,green_color,0.669,0.144,0.441,0.216,4.584,0.163
CUB100,LIME,slic,green_color,0.623,0.127,0.533,0.155,4.619,0.156
CUB100,LIME,quickshift,grey_color,0.715,0.14,0.47,0.226,4.481,0.175
CUB100,LIME,felzenszwalb,grey_color,0.709,0.122,0.518,0.203,4.59,0.162
CUB100,LIME,slic,grey_color,0.685,0.121,0.6,0.17,4.616,0.188
CUB100,LIME,quickshift,white_color,0.648,0.138,0.312,0.214,4.493,0.14
CUB100,LIME,felzenszwalb,white_color,0.614,0.144,0.346,0.204,4.576,0.183
CUB100,LIME,slic,white_color,0.556,0.156,0.406,0.199,4.655,0.157
CUB100,LIME,quickshift,black_color,0.686,0.143,0.4,0.225,4.485,0.153
CUB100,LIME,felzenszwalb,black_color,0.682,0.141,0.439,0.235,4.598,0.161
CUB100,LIME,slic,black_color,0.613,0.144,0.5,0.197,2.848,0.652
CUB100,RENEX,quickshift,violet_color,0.805,0.076,0.449,0.251,0.075,0.024
CUB100,RENEX,felzenszwalb,violet_color,0.806,0.067,0.418,0.235,0.136,0.032
CUB100,RENEX,slic,violet_color,0.736,0.075,0.463,0.205,0.183,0.007
CUB100,RENEX,quickshift,green_color,0.83,0.073,0.286,0.146,0.071,0.022
CUB100,RENEX,felzenszwalb,green_color,0.832,0.073,0.298,0.186,0.139,0.031
CUB100,RENEX,slic,green_color,0.777,0.092,0.394,0.171,0.187,0.01
CUB100,RENEX,quickshift,grey_color,0.858,0.04,0.295,0.219,0.079,0.025
CUB100,RENEX,felzenszwalb,grey_color,0.871,0.059,0.357,0.232,0.143,0.031
CUB100,RENEX,slic,grey_color,0.816,0.08,0.47,0.213,0.186,0.005
CUB100,RENEX,quickshift,white_color,0.812,0.057,0.185,0.192,0.071,0.022
CUB100,RENEX,felzenszwalb,white_color,0.824,0.06,0.185,0.205,0.127,0.027
CUB100,RENEX,slic,white_color,0.788,0.059,0.221,0.194,0.169,0.007
CUB100,RENEX,quickshift,black_color,0.846,0.041,0.246,0.209,0.07,0.021
CUB100,RENEX,felzenszwalb,black_color,0.85,0.047,0.295,0.241,0.13,0.028
CUB100,RENEX,slic,black_color,0.787,0.088,0.369,0.238,0.162,0.008
Imagenet,LIME,quickshift,violet_color,0.528,0.155,0.499,0.16,3.305,0.873
Imagenet,LIME,felzenszwalb,violet_color,0.528,0.158,0.478,0.177,2.633,0.252
Imagenet,LIME,slic,violet_color,0.491,0.166,0.476,0.166,2.744,0.489
Imagenet,LIME,quickshift,green_color,0.615,0.161,0.566,0.2,2.789,0.364
Imagenet,LIME,felzenszwalb,green_color,0.596,0.171,0.567,0.2,2.604,0.118
Imagenet,LIME,slic,green_color,0.618,0.17,0.599,0.192,2.652,0.18
Imagenet,LIME,quickshift,grey_color,0.666,0.11,0.644,0.131,2.614,0.058
Imagenet,LIME,felzenszwalb,grey_color,0.661,0.105,0.65,0.119,2.557,0.047
Imagenet,LIME,slic,grey_color,0.667,0.113,0.66,0.117,2.604,0.034
Imagenet,LIME,quickshift,white_color,0.568,0.137,0.498,0.165,2.633,0.027
Imagenet,LIME,felzenszwalb,white_color,0.491,0.143,0.446,0.152,2.572,0.052
Imagenet,LIME,slic,white_color,0.467,0.167,0.448,0.17,2.586,0.029
Imagenet,LIME,quickshift,black_color,0.609,0.123,0.57,0.144,2.592,0.044
Imagenet,LIME,felzenszwalb,black_color,0.617,0.127,0.583,0.148,2.534,0.04
Imagenet,LIME,slic,black_color,0.59,0.141,0.576,0.148,2.553,0.029
Imagenet,RENEX,quickshift,violet_color,0.638,0.118,0.426,0.178,0.052,0.028
Imagenet,RENEX,felzenszwalb,violet_color,0.651,0.109,0.391,0.199,0.108,0.05
Imagenet,RENEX,slic,violet_color,0.641,0.099,0.443,0.184,0.176,0.014
Imagenet,RENEX,quickshift,green_color,0.711,0.082,0.531,0.239,0.052,0.03
Imagenet,RENEX,felzenszwalb,green_color,0.709,0.083,0.516,0.236,0.114,0.047
Imagenet,RENEX,slic,green_color,0.697,0.102,0.507,0.238,0.19,0.007
Imagenet,RENEX,quickshift,grey_color,0.73,0.063,0.547,0.181,0.055,0.031
Imagenet,RENEX,felzenszwalb,grey_color,0.743,0.06,0.585,0.16,0.112,0.052
Imagenet,RENEX,slic,grey_color,0.737,0.073,0.611,0.148,0.193,0.004
Imagenet,RENEX,quickshift,white_color,0.654,0.111,0.44,0.18,0.055,0.032
Imagenet,RENEX,felzenszwalb,white_color,0.656,0.092,0.377,0.182,0.123,0.054
Imagenet,RENEX,slic,white_color,0.654,0.087,0.412,0.184,0.2,0.012
Imagenet,RENEX,quickshift,black_color,0.7,0.085,0.521,0.169,0.055,0.029
Imagenet,RENEX,felzenszwalb,black_color,0.704,0.077,0.532,0.167,0.118,0.056
Imagenet,RENEX,slic,black_color,0.681,0.094,0.53,0.165,0.192,0.015
Omniglot,LIME,slic,black_color,0.576,0.156,0.488,0.199,5.214,0.15
Omniglot,RENEX,slic,black_color,0.647,0.128,0.382,0.217,0.062,0.065
CUB100,IntegratedGradients,,grey_color,0.659,0.254,0.492,0.325,0.063,0.009
Imagenet,IntegratedGradients,,grey_color,0.552,0.231,0.522,0.228,0.057,0.009
CIFAR100,IntegratedGradients,,grey_color,0.433,0.18,0.358,0.14,0.068,0.009
Omniglot,IntegratedGradients,,grey_color,0.514,0.135,0.495,0.074,0.064,0.009